Multiplied Moves: 893 | Depth: 6| Time: 2 seconds
Multiplied Moves: 846 | Depth: 6| Time: 2 seconds
Multiplied Moves: 954 | Depth: 6| Time: 1 seconds
Multiplied Moves: 1113 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1092 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1092 | Depth: 5| Time: 0 seconds
Multiplied Moves: 448 | Depth: 7| Time: 0 seconds
Multiplied Moves: 1326 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1404 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1620Multiplied Moves: 728Multiplied Moves: 1517 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1426 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1599 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1260 | Depth: 5| Time: 0 seconds
Multiplied Moves: 841Multiplied Moves: 1120 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1287 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1330 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1722 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1806 | Depth: 5| Time: 8 seconds
Multiplied Moves: 1800 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1672 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1364 | Depth: 5| Time: 4 seconds
Multiplied Moves: 1600 | Depth: 5| Time: 5 seconds
Multiplied Moves: 1551 | Depth: 5| Time: 4 seconds
Multiplied Moves: 2009 | Depth: 5| Time: 7 seconds
Multiplied Moves: 1530 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1728 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1632 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1672 | Depth: 5| Time: 0 seconds
Multiplied Moves: 2091 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1938 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1911 | Depth: 5| Time: 1 seconds
Multiplied Moves: 2420 | Depth: 5| Time: 2 seconds
Multiplied Moves: 2392 | Depth: 5| Time: 3 seconds
Multiplied Moves: 2068 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1824 | Depth: 5| Time: 4 seconds
Multiplied Moves: 2376 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1927 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1848 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1920 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1748 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1462 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1496 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1786 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1677 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1575 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1521 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1560 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1482 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1482 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1482 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1482 | Depth: 5| Time: 0 seconds
Multiplied Moves: 928Multiplied Moves: 999 | Depth: 6| Time: 9 seconds
Multiplied Moves: 1188 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1320 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1521 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1368 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1332 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1404 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1406 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1365 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1560 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1269 | Depth: 5| Time: 0 seconds
Multiplied Moves: 960 | Depth: 6| Time: 11 seconds
Multiplied Moves: 1020 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1155 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1122 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1155 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1221 | Depth: 5| Time: 1 seconds
